type	subtype	arg	questions															
Life	Be-Born	Person	Who was born?	Who was born in [Place]?														
		Place	Where did the birth take place?	Where was [Person] born?														
	Marry	Person	Who was married?	Who was married in [Place]?														
		Place	Where did the marriage take place?	Where was [Person] married?														
	Divorce	Person	Who was divorced?	Who was divorced in [Place]?														
		Place	Where did the divorce take place?	Where was [Person] divorced?														
	Injure	Agent	Who enacted the harm?	Who harmed [Victim]?	Who enacted the harm using [Instrument]?	Who enacted the harm in [Place]?	Who harmed [Victim] using [Instrument]?	Who harmed [Victim] in [Place]?	Who enacted the harm using [Instrument] in [Place]?	Who harmed [Victim] using [Instrument] in [Place]?								
		Victim	Who was harmed?	Who was harmed by [Agent]?	Who was harmed with [Instrument]?	Who was harmed in [Place]?	Who was harmed by [Agent] with [Instrument]?	Who was harmed by [Agent] in [Place]?	Who was harmed with [Instrument] in [Place]?	Who was harmed by [Agent] with [Instrument] in [Place]?								
		Instrument	What device was used to inflict the harm?	What device was used by [Agent] to inflict the harm?	What device was used to harm [Victim]?	What device was used to inflict the harm in [Place]?	What device was used by [Agent] to harm [Victim]?	What device was used by [Agent] to inflict the harm in [Place]?	What device was used to harm [Victim] in [Place]?	What device was used by [Agent] to harm [Victim] in [Place]?								
		Place	Where did the injuring take place?	Where did [Agent] enact the harm?	Where was [Victim] harmed?	Where was [Instrument] used to inflict the harm?	Where did [Agent] harm [Victim]?	Where did [Agent] enact the harm with [Instrument]?	Where was [Victim] harmed with [Instrument]?	Where did [Agent] harm [Victim] with [Instrument]?								
	Die	Agent	Who was the killer?	Who killed [Victim]?	Who killed others using [Instrument]?	Who killed others in [Place]?	Who killed [Victim] using [Instrument]?	Who killed [Victim] in [Place]?	Who killed others using [Instrument] in [Place]?	Who killed [Victim] using [Instrument] in [Place]?								
		Victim	Who was killed?	Who was killed by [Agent]?	Who was killed with [Instrument]?	Who was killed in [Place]?	Who was killed by [Agent] with [Instrument]?	Who was killed by [Agent] in [Place]?	Who was killed with [Instrument] in [Place]?	Who was killed by [Agent] with [Instrument] in [Place]?								
		Instrument	What device was used to kill?	What device did [Agent] use to kill others?	What device was used to kill [Victim]?	What device was used to kill others in [Place]?	What device did [Agent] use to kill [Victim]?	What device did [Agent] use to kill others in [Place]?	What device was used to kill [Victim] in [Place]?	What device did [Agent] use to kill [Victim] in [Place]?								
		Place	Where did the death take place?	Where did [Agent] kill others?	Where was [Victim] killed?	Where were people killed with [Instrument]?	Where did [Agent] kill [Victim]?	Where did [Agent] kill others with [Instrument]?	Where was [Victim] killed with [Instrument]?	Where did [Agent] kill [Victim] with [Instrument]?								
Movement	Transport	Agent	Who is responsible for the transport event?	Who transported [Artifact]?	Who transported artifact using [Vehicle]?	Who transported artifact from [Origin]?	Who transported artifact to [Destination]?	Who transported [Artifact] using [Vehicle]?	Who transported [Artifact] from [Origin]?	Who transported [Artifact] to [Destination]?	Who transported artifact from [Origin] using [Vehicle]?	Who transported artifact to [Destination] using [Vehicle]?	Who transported artifact from [Origin] to [Destination]?	Who transported [Artifact] from [Origin] using [Vehicle]?	Who transported [Artifact] to [Destination] using [Vehicle]?	Who transported [Artifact] from [Origin] to [Destination]?	Who transported artifact from [Origin] to [Destination] using [Vehicle]?	Who transported [Artifact] from [Origin] to [Destination] using [Vehicle]?
		Artifact	Who was transported?	Who was transported by [Agent]?	Who was transported with [Vehicle]?	Who was transported from [Origin]?	Who was transported to [Destination]?	Who was transported by [Agent] with [Vehicle]?	Who was transported from [Origin] by [Agent]?	Who was transported to [Destination] by [Agent]?	Who was transported from [Origin] with [Vehicle]?	Who was transported to [Destination] with [Vehicle]?	Who was transported from [Origin] to [Destination]?	Who was transported from [Origin] by [Agent] with [Vehicle]?	Who was transported to [Destination] by [Agent] with [Vehicle]?	Who was transported from [Origin] to [Destination] by [Agent]?	Who was transported from [Origin] to [Destination] with [Vehicle]?	Who was transported from [Origin] to [Destination] by [Agent] with [Vehicle]?
		Vehicle	What vehicle was used for transporting?	What vehicle did [Agent] use for transporting?	What vehicle was used for transporting [Artifact]?	What vehicle was used for transporting from [Origin]?	What vehicle was used for transporting to [Destination]?	What vehicle did [Agent] use for transporting [Artifact]?	What vehicle did [Agent] use for transporting from [Origin]?	What vehicle did [Agent] use for transporting to [Destination]?	What vehicle was used for transporting [Artifact] from [Origin]?	What vehicle was used for transporting [Artifact] to [Destination]?	What vehicle was used for transporting from [Origin] to [Destination]?	What vehicle did [Agent] use for transporting [Artifact] from [Origin]?	What vehicle did [Agent] use for transporting [Artifact] to [Destination]?	What vehicle did [Agent] use for transporting from [Origin] to [Destination]?	What vehicle was used for transporting [Artifact] from [Origin] to [Destination]?	What vehicle did [Agent] use for transporting [Artifact] from [Origin] to [Destination]?
